date,vemquartile,outcome,value,type
2021-05-03,3,cases,-45.41222506148957,counterfactual
2021-05-03,3,hosps,-11.564826091359336,counterfactual
2021-05-03,3,deaths,-10.199350220683412,counterfactual
2021-05-03,4,cases,-265.04431089490515,counterfactual
2021-05-03,4,hosps,-18.848484317542564,counterfactual
2021-05-03,4,deaths,3.3548253774665797,counterfactual
2021-05-10,1,cases,1423.7102969364378,counterfactual
2021-05-10,1,hosps,100.72802017863782,counterfactual
2021-05-10,1,deaths,6.922359560229143,counterfactual
2021-05-10,2,cases,126.4503502205347,counterfactual
2021-05-10,2,hosps,26.777709508828373,counterfactual
2021-05-10,2,deaths,4.626929548479171,counterfactual
2021-05-10,3,cases,93.92721434031947,counterfactual
2021-05-10,3,hosps,9.002226774418197,counterfactual
2021-05-10,3,deaths,1.8316604704406703,counterfactual
2021-05-10,4,cases,-226.97629225163095,counterfactual
2021-05-10,4,hosps,-14.298506434994552,counterfactual
2021-05-10,4,deaths,-0.7514454026705966,counterfactual
2021-05-17,1,cases,1183.1612929805235,counterfactual
2021-05-17,1,hosps,76.74960040269013,counterfactual
2021-05-17,1,deaths,9.959641198501682,counterfactual
2021-05-17,2,cases,87.58433677400352,counterfactual
2021-05-17,2,hosps,-9.329712610642307,counterfactual
2021-05-17,2,deaths,-2.8147386625680233,counterfactual
2021-05-17,3,cases,64.95765980605944,counterfactual
2021-05-17,3,hosps,6.306302763616152,counterfactual
2021-05-17,3,deaths,-1.7733102851005131,counterfactual
2021-05-17,4,cases,-54.797557569229944,counterfactual
2021-05-17,4,hosps,-8.625324877431584,counterfactual
2021-05-17,4,deaths,1.3876628746270558,counterfactual
2021-05-24,1,cases,1024.1870906084455,counterfactual
2021-05-24,1,hosps,84.02986608588381,counterfactual
2021-05-24,1,deaths,3.2430087007551176,counterfactual
2021-05-24,2,cases,188.3396019084573,counterfactual
2021-05-24,2,hosps,-7.9722730285987335,counterfactual
2021-05-24,2,deaths,3.0618776540988115,counterfactual
2021-05-24,3,cases,46.18362238743166,counterfactual
2021-05-24,3,hosps,6.112916894976702,counterfactual
2021-05-24,3,deaths,-0.8592699195869142,counterfactual
2021-05-24,4,cases,-101.87562164533927,counterfactual
2021-05-24,4,hosps,-0.6844172006270353,counterfactual
2021-05-24,4,deaths,2.7836772670830943,counterfactual
2021-05-31,1,cases,966.5801655116111,counterfactual
2021-05-31,1,hosps,77.88294956077326,counterfactual
2021-05-31,1,deaths,7.722926237271228,counterfactual
2021-05-31,2,cases,149.88034335893502,counterfactual
2021-05-31,2,hosps,-4.930764466736017,counterfactual
